epoch,train_loss,test_loss
0,1030.2587332504913,1979.6245966796876
1,257.1791316426394,483.7072958984375
2,83.9536915286556,177.98427899169923
3,54.318886468046,121.18919030761718
4,51.711613658313944,102.8226953125
5,48.70238571703336,84.68733114624024
6,34.910987941490454,66.1623776550293
7,24.53045353048162,51.15834954833984
8,22.88498666088649,44.01418536376953
9,18.025489289205566,39.026669326782226
10,13.73951820163637,34.47665254211426
11,18.846817378454602,31.32311799621582
12,13.969558641057258,29.20232894897461
13,11.799627992520557,25.917660369873047
14,10.993911293676348,24.538133911132814
15,10.101903769984718,21.106791961669924
16,11.055794415247957,21.078057136535644
17,8.964998964393057,17.39166901779175
18,9.05699707865583,16.538212062835694
19,6.835249411076957,14.638468570709229
20,6.124664047700041,13.390412620544433
21,5.917612582153785,11.886068073272705
22,4.809972138731224,10.977729850769043
23,5.506840265756271,10.232646780014038
24,4.19319570538074,10.131498893737794
25,5.339065438706445,10.518703845977782
26,5.1510804023209875,8.548576822280884
27,4.741796766085598,8.366867301940918
28,3.5713716305405763,8.122677082061768
29,4.4974558853322915,7.515250301361084
30,3.3970304660598436,7.337243772506714
31,3.414547036471662,7.166564811706543
32,3.6598958827781263,7.579470441818238
33,3.279046766039323,6.527582593917847
34,3.355846293525763,6.5747864685058595
35,3.274486448117088,5.988014553070069
36,3.469034130068433,5.976193857192993
37,3.2347288290482847,6.171004203796387
38,2.6650626513030673,5.727695960998535
39,2.532619759045634,5.616360181808472
40,3.073741963276604,6.06141940498352
41,3.3190377777251228,5.672336582183838
42,2.9081323236530583,5.374809873580933
43,2.998477664104869,5.714773452758789
44,2.7566010176827094,5.401241926193237
45,2.263384701562325,4.896488426208496
46,2.35714575830751,4.830472456932068
47,2.9835090450592796,5.060790187835694
48,2.1505830652997,4.852147331237793
49,2.458004027370844,4.623733592987061
50,2.524584334329559,4.54201278591156
51,2.164474934433409,4.496137096405029
52,2.2886347854538953,4.5759138545989995
53,1.9555136908954283,4.395682846069336
54,2.0419206041722617,4.293340873718262
55,2.3690406922146927,4.6714602584838865
56,2.143159683118622,4.737156446456909
57,2.1797166454121246,4.026939002990723
58,2.123790381043387,3.9883425664901733
59,1.9912640591021902,3.964281707763672
60,1.7605514392342774,3.8649590826034546
61,1.7153711115898735,4.801690452575683
62,2.2769076668395503,3.7391006679534913
63,1.829153781079579,3.754695732116699
64,2.2749820700764904,3.4632237186431887
65,1.9213119080837286,3.528332294464111
66,1.419958193716828,3.372689971923828
67,2.1521716660645343,3.3049690380096437
68,1.6288544645941685,3.4413925046920775
69,1.7318899282340954,3.1751826686859133
70,1.373291186651538,3.2301487150192263
71,1.434422877378678,2.860163115501404
72,1.3353384581795484,2.9803930864334105
73,1.208089658714782,2.6621561918258667
74,1.2958704184182492,2.7110911111831664
75,1.3329136330206615,2.792419453620911
76,1.1345606901006045,2.4745632491111755
77,1.461203889453346,2.8368613109588625
78,1.3566600312975297,3.023769775390625
79,1.3590487423306146,2.492168599128723
80,1.2607626602578519,2.4021946182250975
81,0.9505888043499827,2.3611523933410643
82,1.0069489779798215,2.3054283790588377
83,1.4068574994417133,2.4020090703964234
84,1.1051001704156214,2.2535231537818907
85,1.143619819444433,2.3836197834014894
86,0.9650650853844801,2.521500852584839
87,1.2540665176539372,2.285128303527832
88,1.0286669286619825,2.2578015356063843
89,1.0191699442860707,2.077194731235504
90,0.883008527360725,2.0323613047599793
91,1.2726960636609392,2.733250415802002
92,1.0085425881082661,2.1427095708847044
93,0.7817557298605716,1.9930824546813966
94,1.0876494657246452,2.4253502807617187
95,1.0198031799823404,2.1950110392570497
96,1.0291275568110387,1.997803702354431
97,1.0913823248248613,1.9006603751182556
98,1.1006173665022514,2.0832676725387573
99,1.0431486984272942,1.9875506510734557
100,0.8809101598355275,1.9090984706878662
101,0.889407021083817,2.0395428814888
102,0.8664825301308404,1.919643102645874
103,0.8993169366553706,2.1322621455192565
104,0.920692984245379,1.7822049922943115
105,0.9282058276915359,1.9187747235298156
106,1.1154256924658121,1.7327718963623047
107,0.9948930575788069,1.965706627368927
108,0.7906187610501227,1.7190133442878723
109,1.051858346558737,2.2743754844665527
110,0.721203131791601,1.6768020877838135
111,0.9675565038553929,1.6797704205513
112,0.7403035386472503,1.7420872330665589
113,0.9486425915657095,1.6723017578125
114,0.8736011440663808,1.8598954973220825
115,0.7459194839205842,1.6486483430862426
116,0.7360936586730549,1.7858879432678223
117,0.8211891130680589,1.5963752574920653
118,1.0985479562891873,1.677587613582611
119,0.8727135339288178,1.9127513408660888
120,0.7990700073411887,1.5458076767921447
121,0.7271484885222218,1.5374004807472228
122,0.9670370558851581,1.6238299946784973
123,0.8771426065390746,1.5612032179832458
124,0.84404243908964,2.0175764436721804
125,0.6433266979361602,1.7052745447158812
126,0.7506783670017328,1.5007639284133911
127,0.7711204132316867,1.7174959540367127
128,0.8437849525908329,1.5513023347854615
129,0.7329626388244251,1.6543445148468017
130,0.7511651584213963,1.5324333634376526
131,0.7822522037541149,1.5436439719200135
132,0.709531586040018,1.7419915614128112
133,0.9145094322382581,1.5036366744041443
134,0.8204774552974586,1.726390411376953
135,0.9153420368282132,1.6177983708381654
136,0.6999546846182627,1.6244727292060852
137,0.725895850839348,1.5458143410682679
138,0.7644086767451566,1.7850094938278198
139,0.7536634013199811,1.6058757004737854
140,0.7782171058293784,1.3860608167648316
141,0.6829808392479498,1.4063143672943115
142,1.064962031181129,1.9116991271972656
143,0.6952912596465289,1.5142155871391296
144,0.622590210850832,1.5214725766181947
145,0.919396103050964,1.7715733017921447
146,0.8597243642109217,1.5053832426071168
147,0.6363833695715158,1.3439146270751954
148,0.6787939224246706,1.3524060306549073
149,0.6063860264445452,1.4716942582130432
150,0.7064287669039284,1.3342411813735962
151,0.6532384748843841,1.387050705909729
152,0.7135539915468685,1.5739101600646972
153,0.747744526452278,1.5586878199577332
154,0.6974811407530669,1.3910423893928527
155,0.6061194944925662,1.3247831704616546
156,0.596889199957861,1.3926666073799134
157,0.6281695568979125,1.4227415447235108
158,0.636678632874859,1.3450056104660033
159,0.981111313861362,1.330983265399933
160,0.7259748548410543,1.5817787718772889
161,0.6537713136397946,1.3641091656684876
162,0.9734776340778184,1.9896572637557983
163,0.9467420075423681,1.3347058854103089
164,0.6367162493808902,1.2953750178813934
165,0.7478957332587836,1.2509505887031556
166,0.6473877452354502,1.2646739573478698
167,0.8406804057742181,1.2856393780708313
168,0.6354652901567234,1.2292422008514405
169,0.6522544672638,1.2443382279872894
170,0.6437067100022633,1.2729025497436524
171,0.6162901178662039,1.7260730419158936
172,0.6522527131897835,1.2715287861824036
173,0.5704524511136071,1.2554700198173523
174,0.7638155458816172,1.1979148457050324
175,0.6227980031095561,1.1787559497356415
176,0.6035957993722899,1.268811333656311
177,0.5538697233201488,1.1988259251117706
178,0.6524722695019025,1.2099997901916504
179,0.6252112751668468,1.2510904564857483
180,0.6068049034453714,1.1560956926345825
181,0.6413475720928327,1.176654958486557
182,0.7149208018693511,1.5482788362503053
183,0.4994452517131917,1.2176049466133119
184,0.6290036393097055,1.3884777879714967
185,0.599180414602136,1.1562520489692687
186,0.5244448517378941,1.1771565110683442
187,0.7039277009272437,1.216261884212494
188,0.5068523544930064,1.1532926378250121
189,0.7786986420989889,1.3610424799919127
190,0.5511552144400084,1.139125290632248
191,0.5925086167358093,1.277439447402954
192,0.5190264676132645,1.1884489793777466
193,0.6333615703469515,1.1302518045902252
194,0.586711679754214,1.1685980224609376
195,0.6426696208391508,1.1928869490623475
196,0.4490525655376979,1.129823061466217
197,0.6371646713141892,1.17396674823761
198,0.803649286550877,1.3148356795310974
199,0.7565649764481832,1.2422840032577516
